Date,Open,High,Low,Close,Volume,Adj Close
2013-07-01,3.52,3.54,3.48,3.49,000,3.49
2013-06-28,3.55,3.58,3.50,3.50,000,3.50
2013-06-27,3.55,3.57,3.52,3.55,000,3.55
2013-06-26,3.60,3.62,3.56,3.57,000,3.57
2013-06-25,3.54,3.62,3.54,3.61,000,3.61
2013-06-24,3.63,3.63,3.54,3.56,000,3.56
2013-06-21,3.47,3.57,3.47,3.57,000,3.57
2013-06-20,3.45,3.55,3.44,3.51,000,3.51
2013-06-19,3.33,3.43,3.32,3.41,000,3.41
2013-06-18,3.36,3.38,3.33,3.34,000,3.34
2013-06-17,3.30,3.35,3.30,3.35,000,3.35
2013-06-14,3.31,3.33,3.27,3.30,000,3.30
2013-06-13,3.37,3.37,3.31,3.33,000,3.33
2013-06-12,3.32,3.38,3.31,3.38,000,3.38
2013-06-11,3.41,3.41,3.32,3.33,000,3.33
2013-06-10,3.35,3.38,3.34,3.37,000,3.37
2013-06-07,3.24,3.33,3.22,3.32,000,3.32
2013-06-06,3.24,3.29,3.17,3.23,000,3.23
2013-06-05,3.28,3.29,3.25,3.26,000,3.26
2013-06-04,3.29,3.32,3.28,3.30,000,3.30
2013-06-03,3.31,3.32,3.24,3.28,000,3.28
2013-05-31,3.26,3.36,3.25,3.31,000,3.31
2013-05-30,3.29,3.29,3.25,3.29,000,3.29
2013-05-29,3.30,3.30,3.26,3.27,000,3.27
2013-05-28,3.20,3.29,3.20,3.29,000,3.29
2013-05-24,3.19,3.20,3.15,3.17,000,3.17
2013-05-23,3.19,3.23,3.16,3.20,000,3.20
2013-05-22,3.13,3.23,3.10,3.21,000,3.21
2013-05-21,3.17,3.20,3.13,3.15,000,3.15
2013-05-20,3.14,3.18,3.13,3.17,000,3.17
2013-05-17,3.11,3.17,3.10,3.16,000,3.16
2013-05-16,3.16,3.17,3.08,3.09,000,3.09
2013-05-15,3.16,3.20,3.14,3.16,000,3.16
2013-05-14,3.12,3.18,3.10,3.16,000,3.16
2013-05-13,3.11,3.14,3.11,3.13,000,3.13
2013-05-10,3.05,3.13,3.03,3.10,000,3.10
2013-05-09,2.96,3.00,2.95,3.00,000,3.00
2013-05-08,3.01,3.01,2.97,2.98,000,2.98
2013-05-07,2.99,3.00,2.98,3.00,000,3.00
2013-05-06,2.96,2.99,2.95,2.99,000,2.99
2013-05-03,2.83,2.97,2.83,2.97,000,2.97
2013-05-02,2.84,2.87,2.83,2.83,000,2.83
2013-05-01,2.87,2.87,2.81,2.84,000,2.84
2013-04-30,2.86,2.89,2.85,2.88,000,2.88
2013-04-29,2.86,2.87,2.85,2.87,000,2.87
2013-04-26,2.88,2.88,2.86,2.86,000,2.86
2013-04-25,2.90,2.92,2.90,2.91,000,2.91
2013-04-24,2.91,2.91,2.88,2.89,000,2.89
2013-04-23,2.85,2.90,2.84,2.89,000,2.89
2013-04-22,2.90,2.90,2.86,2.88,000,2.88
2013-04-19,2.88,2.89,2.87,2.88,000,2.88
2013-04-18,2.90,2.90,2.86,2.86,000,2.86
2013-04-17,2.89,2.90,2.85,2.89,000,2.89
2013-04-16,2.91,2.92,2.89,2.90,000,2.90
2013-04-15,2.90,2.92,2.88,2.88,000,2.88
2013-04-12,2.96,2.96,2.91,2.92,000,2.92
2013-04-11,3.00,3.01,2.98,3.00,000,3.00
2013-04-10,2.95,3.01,2.95,3.01,000,3.01
2013-04-09,2.93,2.93,2.90,2.93,000,2.93
2013-04-08,2.89,2.90,2.87,2.90,000,2.90
2013-04-05,2.94,2.95,2.84,2.86,000,2.86
2013-04-04,3.04,3.04,2.98,2.99,000,2.99
2013-04-03,3.10,3.10,3.04,3.06,000,3.06
2013-04-02,3.08,3.11,3.08,3.10,000,3.10
2013-04-01,3.14,3.14,3.08,3.09,000,3.09
2013-03-28,3.11,3.12,3.09,3.10,000,3.10
2013-03-27,3.09,3.10,3.07,3.09,000,3.09
