Date,Open,High,Low,Close,Volume,Adj Close
2013-07-01,1.42,1.43,1.38,1.40,000,1.40
2013-06-28,1.40,1.46,1.38,1.38,000,1.38
2013-06-27,1.41,1.43,1.38,1.39,000,1.39
2013-06-26,1.45,1.46,1.39,1.43,000,1.43
2013-06-25,1.39,1.49,1.38,1.47,000,1.47
2013-06-24,1.55,1.56,1.41,1.45,000,1.45
2013-06-21,1.29,1.41,1.28,1.41,000,1.41
2013-06-20,1.33,1.33,1.26,1.31,000,1.31
2013-06-19,1.05,1.25,1.04,1.23,000,1.23
2013-06-18,1.07,1.09,1.04,1.05,000,1.05
2013-06-17,1.01,1.05,1.00,1.04,000,1.04
2013-06-14,1.02,1.04,1.00,1.02,000,1.02
2013-06-13,1.14,1.14,1.09,1.10,000,1.10
2013-06-12,1.11,1.14,1.09,1.14,000,1.14
2013-06-11,1.18,1.18,1.10,1.11,000,1.11
2013-06-10,1.10,1.14,1.09,1.12,000,1.12
2013-06-07,1.03,1.10,0.98,1.09,000,1.09
2013-06-06,1.01,1.04,0.95,1.01,000,1.01
2013-06-05,1.02,1.04,1.00,1.02,000,1.02
2013-06-04,1.03,1.06,1.03,1.04,000,1.04
2013-06-03,1.06,1.06,0.99,1.03,000,1.03
2013-05-31,0.99,1.09,0.98,1.05,000,1.05
2013-05-30,1.03,1.05,1.00,1.01,000,1.01
2013-05-29,1.01,1.04,0.99,1.00,000,1.00
2013-05-28,0.91,1.00,0.91,0.99,000,0.99
2013-05-24,0.89,0.90,0.87,0.89,000,0.89
2013-05-23,0.89,0.91,0.87,0.89,000,0.89
2013-05-22,0.82,0.90,0.78,0.89,000,0.89
2013-05-21,0.83,0.86,0.81,0.83,000,0.83
2013-05-20,0.82,0.85,0.81,0.83,000,0.83
2013-05-17,0.78,0.84,0.78,0.83,000,0.83
2013-05-16,0.83,0.84,0.77,0.77,000,0.77
2013-05-15,0.84,0.85,0.81,0.83,000,0.83
2013-05-14,0.81,0.85,0.81,0.84,000,0.84
2013-05-13,0.82,0.84,0.82,0.82,000,0.82
2013-05-10,0.77,0.83,0.77,0.82,000,0.82
2013-05-09,0.73,0.75,0.73,0.75,000,0.75
2013-05-08,0.75,0.76,0.74,0.74,000,0.74
2013-05-07,0.75,0.76,0.74,0.75,000,0.75
2013-05-06,0.73,0.75,0.73,0.75,000,0.75
2013-05-03,0.65,0.73,0.65,0.73,000,0.73
2013-05-02,0.66,0.67,0.64,0.65,000,0.65
2013-05-01,0.67,0.67,0.64,0.65,000,0.65
2013-04-30,0.66,0.68,0.65,0.68,000,0.68
2013-04-29,0.68,0.68,0.67,0.68,000,0.68
2013-04-26,0.70,0.70,0.68,0.68,000,0.68
2013-04-25,0.71,0.73,0.71,0.71,000,0.71
2013-04-24,0.70,0.70,0.69,0.69,000,0.69
2013-04-23,0.68,0.70,0.65,0.69,000,0.69
2013-04-22,0.71,0.71,0.69,0.69,000,0.69
2013-04-19,0.70,0.71,0.69,0.71,000,0.71
2013-04-18,0.70,0.70,0.69,0.70,000,0.70
2013-04-17,0.69,0.70,0.68,0.70,000,0.70
2013-04-16,0.70,0.71,0.69,0.70,000,0.70
2013-04-15,0.69,0.70,0.68,0.69,000,0.69
2013-04-12,0.71,0.71,0.69,0.69,000,0.69
2013-04-11,0.73,0.74,0.72,0.73,000,0.73
2013-04-10,0.71,0.74,0.71,0.74,000,0.74
2013-04-09,0.71,0.71,0.69,0.70,000,0.70
2013-04-08,0.70,0.70,0.68,0.70,000,0.70
2013-04-05,0.70,0.71,0.66,0.68,000,0.68
2013-04-04,0.71,0.71,0.69,0.69,000,0.69
2013-04-03,0.77,0.77,0.72,0.73,000,0.73
2013-04-02,0.75,0.78,0.75,0.77,000,0.77
2013-04-01,0.79,0.79,0.75,0.76,000,0.76
2013-03-28,0.77,0.78,0.76,0.77,000,0.77
2013-03-27,0.74,0.75,0.72,0.74,000,0.74
2013-03-26,0.80,0.81,0.77,0.78,000,0.78
2013-03-25,0.82,0.83,0.77,0.79,000,0.79
2013-03-22,0.79,0.81,0.78,0.79,000,0.79
2013-03-21,0.80,0.81,0.78,0.80,000,0.80
2013-03-20,0.80,0.81,0.78,0.79,000,0.79
2013-03-19,0.80,0.80,0.76,0.78,000,0.78
2013-03-18,0.83,0.83,0.80,0.81,000,0.81
2013-03-15,0.88,0.88,0.83,0.83,000,0.83
2013-03-14,0.90,0.91,0.87,0.88,000,0.88
2013-03-13,0.86,0.90,0.86,0.88,000,0.88
2013-03-12,0.88,0.88,0.87,0.87,000,0.87
2013-03-11,0.89,0.90,0.89,0.90,000,0.90
2013-03-08,0.86,0.92,0.86,0.90,000,0.90
2013-03-07,0.80,0.85,0.80,0.85,000,0.85
2013-03-06,0.80,0.81,0.79,0.80,000,0.80
2013-03-05,0.77,0.78,0.77,0.77,000,0.77
2013-03-04,0.74,0.76,0.74,0.76,000,0.76
2013-03-01,0.75,0.76,0.74,0.75,000,0.75
2013-02-28,0.76,0.78,0.76,0.77,000,0.77
2013-02-27,0.77,0.78,0.75,0.78,000,0.78
2013-02-26,0.76,0.78,0.75,0.76,000,0.76
2013-02-25,0.84,0.85,0.76,0.78,000,0.78
2013-02-22,0.83,0.84,0.83,0.83,000,0.83
2013-02-21,0.84,0.84,0.82,0.84,000,0.84
2013-02-20,0.89,0.90,0.86,0.87,000,0.87
2013-02-19,0.87,0.88,0.85,0.88,000,0.88
2013-02-15,0.86,0.89,0.86,0.87,000,0.87
2013-02-14,0.89,0.90,0.86,0.86,000,0.86
2013-02-13,0.89,0.91,0.88,0.90,000,0.90
2013-02-12,0.86,0.87,0.85,0.87,000,0.87
2013-02-11,0.84,0.84,0.83,0.84,000,0.84
2013-02-08,0.82,0.85,0.81,0.83,000,0.83
2013-02-07,0.85,0.85,0.81,0.82,000,0.82
2013-02-06,0.85,0.85,0.83,0.84,000,0.84
2013-02-05,0.87,0.88,0.87,0.88,000,0.88
2013-02-04,0.87,0.87,0.83,0.85,000,0.85
2013-02-01,0.90,0.91,0.82,0.88,000,0.88
2013-01-31,0.86,0.89,0.86,0.88,000,0.88
2013-01-30,0.90,0.92,0.87,0.89,000,0.89
2013-01-29,0.86,0.88,0.85,0.87,000,0.87
2013-01-28,0.86,0.90,0.86,0.88,000,0.88
2013-01-25,0.82,0.85,0.81,0.85,000,0.85
